K	Conf	Term	2S+1	L	P	2J	CF	AS(Ryd)	NIST(Ryd)	Energy
87	3s.7g	3G	3	4	0	6	24	0.541507	0.541507	0.541507
88	3s.7g	3G	3	4	0	8	24	0.541507	0.541507	0.541507
89	3s.7g	1G	1	4	0	8	24	0.541507	0.541507	0.541507
90	3s.7g	3G	3	4	0	10	24	0.541507	0.541507	0.541507
91	3s.7h	1H*	1	5	1	10	25	0.541556	0.541556	0.541556
92	3s.7h	3H*	3	5	1	8	25	0.541556	0.541556	0.541556
93	3s.7h	3H*	3	5	1	10	25	0.541556	0.541556	0.541556
94	3s.7h	3H*	3	5	1	12	25	0.541556	0.541556	0.541556
95	3s.7i	1I	1	6	0	12	26	0.541571	0.541571	0.541571
96	3s.7i	3I	3	6	0	10	26	0.541571	0.541571	0.541571
97	3s.7i	3I	3	6	0	12	26	0.541571	0.541571	0.541571
98	3s.7i	3I	3	6	0	14	26	0.541571	0.541571	0.541571
99	3s.9s	3S	3	0	0	2	33	0.543563	0.543563	0.543563
100	3s.8d	1D	1	2	0	4	29	0.543935	0.543935	0.543935
101	3s.9s	1S	1	0	0	0	33	0.544091	0.544091	0.544091
102	3s.8d	3D	3	2	0	2	29	0.545677	0.545678	0.545678
103	3s.8d	3D	3	2	0	4	29	0.545677	0.545677	0.545677
104	3s.8d	3D	3	2	0	6	29	0.545677	0.545677	0.545677
105	3s.9p	3P*	3	1	1	0	34	0.545826	0.545829	0.545829
106	3s.9p	3P*	3	1	1	2	34	0.545828	0.545829	0.545829
107	3s.9p	3P*	3	1	1	4	34	0.545831	0.545829	0.545829
108	3s.8f	1F*	1	3	1	6	30	0.546171	0.546171	0.546171
109	3s.8f	3F*	3	3	1	4	30	0.546171	0.546171	0.546171
110	3s.8f	3F*	3	3	1	6	30	0.546171	0.546171	0.546171
111	3s.8f	3F*	3	3	1	8	30	0.546171	0.546171	0.546171
112	3s.9p	1P*	1	1	1	2	34	0.546183	0.546183	0.546183
113	3s.8g	3G	3	4	0	6	31	0.546312	0.546312	0.546312
114	3s.8g	3G	3	4	0	8	31	0.546312	0.546312	0.546312
115	3s.8g	1G	1	4	0	8	31	0.546313	0.546312	0.546312
116	3s.8g	3G	3	4	0	10	31	0.546313	0.546312	0.546312
117	3s.8h	1H*	1	5	1	10	32	0.546346	0.546346	0.546346
118	3s.8h	3H*	3	5	1	8	32	0.546346	0.546346	0.546346
119	3s.8h	3H*	3	5	1	10	32	0.546346	0.546346	0.546346
120	3s.8h	3H*	3	5	1	12	32	0.546346	0.546346	0.546346
121	3s.10s	3S	3	0	0	2	41	0.547708	0.547708	0.547708
122	3s.9d	1D	1	2	0	4	35	0.547920	0.547920	0.547920
123	3s.10s	1S	1	0	0	0	41	0.548065	0.548065	0.548065
124	3s.9d	3D	3	2	0	2	35	0.549162	0.549162	0.549162
125	3s.9d	3D	3	2	0	4	35	0.549162	0.549162	0.549162
126	3s.9d	3D	3	2	0	6	35	0.549162	0.549162	0.549162
127	3s.10p	3P*	3	1	1	0	42	0.549226	-1.000000	0.549226
128	3s.10p	3P*	3	1	1	2	42	0.549227	-1.000000	0.549227
129	3s.10p	3P*	3	1	1	4	42	0.549230	-1.000000	0.549230
130	3s.9f	1F*	1	3	1	6	36	0.549506	0.549506	0.549506
131	3s.9f	3F*	3	3	1	4	36	0.549506	0.549506	0.549506
132	3s.9f	3F*	3	3	1	6	36	0.549506	0.549506	0.549506
133	3s.9f	3F*	3	3	1	8	36	0.549506	0.549506	0.549506
134	3s.10p	1P*	1	1	1	2	42	0.549515	0.549515	0.549515
135	3s.9g	3G	3	4	0	6	37	0.549606	0.549606	0.549606
