I	Conf	Term	2S+1	L	P	CF	AS(Ryd)	NIST(Ryd)	Energy
78	3s.9h	3H*	3	5	1	38	0.549630	0.549630	0.549630
79	3s.9i	1I	1	6	0	39	0.549637	0.549637	0.549637
80	3s.9i	3I	3	6	0	39	0.549637	0.549637	0.549637
81	3s.9k	1K*	1	7	1	40	0.549640	0.549640	0.549640
82	3s.9k	3K*	3	7	1	40	0.549640	0.549640	0.549640
83	3s.11s	3S	3	0	0	45	0.550595	0.550596	0.550596
84	3s.10d	1D	1	2	0	43	0.550725	0.550725	0.550725
85	3s.11s	1S	1	0	0	45	0.551115	-1.000000	0.551115
86	3s.10d	3D	3	2	0	43	0.551639	0.551639	0.551639
87	3s.11p	3P*	3	1	1	46	0.551646	-1.000000	0.551646
88	3s.10f	1F*	1	3	1	44	0.551887	0.551887	0.551887
89	3s.10f	3F*	3	3	1	44	0.551887	0.551887	0.551887
90	3s.11p	1P*	1	1	1	46	0.551894	0.551894	0.551894
91	3s.12s	3S	3	0	0	49	0.552688	0.552688	0.552688
92	3s.11d	1D	1	2	0	47	0.552772	0.552772	0.552772
93	3s.12s	1S	1	0	0	49	0.553045	-1.000000	0.553045
94	3s.12p	3P*	3	1	1	50	0.553428	-1.000000	0.553428
95	3s.11d	3D	3	2	0	47	0.553461	0.553461	0.553461
96	3s.11f	1F*	1	3	1	48	0.553647	0.553647	0.553647
97	3s.11f	3F*	3	3	1	48	0.553647	0.553647	0.553647
98	3s.12p	1P*	1	1	1	50	0.553651	0.553651	0.553651
99	3s.13s	3S	3	0	0	53	0.554252	0.554252	0.554252
100	3s.12d	1D	1	2	0	51	0.554309	0.554309	0.554309
101	3s.13s	1S	1	0	0	53	0.554498	-1.000000	0.554498
102	3s.13p	3P*	3	1	1	54	0.554781	-1.000000	0.554781
103	3s.12d	3D	3	2	0	51	0.554842	0.554842	0.554842
104	3s.12f	1F*	1	3	1	52	0.554984	0.554984	0.554984
105	3s.12f	3F*	3	3	1	52	0.554984	0.554984	0.554984
106	3s.13p	1P*	1	1	1	54	0.554988	0.554988	0.554988
107	3s.14s	3S	3	0	0	57	0.555453	0.555453	0.555453
108	3s.13d	1D	1	2	0	55	0.555493	0.555493	0.555493
109	3s.14s	1S	1	0	0	57	0.555619	-1.000000	0.555619
110	3s.14p	3P*	3	1	1	58	0.555831	-1.000000	0.555831
111	3s.13d	3D	3	2	0	55	0.555912	0.555912	0.555912
112	3s.13f	1F*	1	3	1	56	0.556024	0.556024	0.556024
113	3s.13f	3F*	3	3	1	56	0.556024	0.556024	0.556024
114	3s.14p	1P*	1	1	1	58	0.556027	0.556027	0.556027
115	3s.15s	3S	3	0	0	61	0.556268	-1.000000	0.556268
116	3s.14d	1D	1	2	0	59	0.556424	0.556424	0.556424
117	3s.15s	1S	1	0	0	61	0.556503	-1.000000	0.556503
118	3s.15p	3P*	3	1	1	62	0.556662	-1.000000	0.556662
119	3s.14d	3D	3	2	0	59	0.556759	0.556759	0.556759
120	3s.14f	1F*	1	3	1	60	0.556848	0.556848	0.556848
121	3s.14f	3F*	3	3	1	60	0.556848	0.556848	0.556848
122	3s.15p	1P*	1	1	1	62	0.556851	0.556851	0.556851
123	3s.16s	3S	3	0	0	65	0.557013	-1.000000	0.557013
124	3s.15d	1D	1	2	0	63	0.557168	0.557168	0.557168
125	3s.16s	1S	1	0	0	65	0.557212	-1.000000	0.557212
126	3s.15d	3D	3	2	0	63	0.557320	-1.000000	0.557320
127	3s.16p	3P*	3	1	1	66	0.557332	-1.000000	0.557332
128	3s.15f	1F*	1	3	1	64	0.557513	0.557513	0.557513
129	3s.15f	3F*	3	3	1	64	0.557513	0.557513	0.557513
130	3s.16p	1P*	1	1	1	66	0.557515	0.557515	0.557515
131	3s.17s	3S	3	0	0	68	0.557618	-1.000000	0.557618
132	3s.16d	1D	1	2	0	67	0.557770	0.557770	0.557770
133	3s.17s	1S	1	0	0	68	0.557791	-1.000000	0.557791
134	3s.16d	3D	3	2	0	67	0.557869	-1.000000	0.557869
135	3s.17p	3P*	3	1	1	69	0.557880	-1.000000	0.557880
136	3s.17p	1P*	1	1	1	69	0.558058	0.558058	0.558058
137	3s.18s	3S	3	0	0	71	0.558115	-1.000000	0.558115
138	3s.17d	1D	1	2	0	70	0.558269	0.558269	0.558269
139	3s.18s	1S	1	0	0	71	0.558272	-1.000000	0.558272
140	3s.17d	3D	3	2	0	70	0.558324	-1.000000	0.558324
141	3s.18p	3P*	3	1	1	72	0.558333	-1.000000	0.558333
142	3s.18p	1P*	1	1	1	72	0.558508	0.558508	0.558508
143	3s.19s	3S	3	0	0	74	0.558530	-1.000000	0.558530
144	3s.19s	1S	1	0	0	74	0.558680	-1.000000	0.558680
145	3s.18d	1D	1	2	0	73	0.558683	0.558683	0.558683
146	3s.18d	3D	3	2	0	73	0.558705	-1.000000	0.558705
147	3s.19p	3P*	3	1	1	75	0.558712	-1.000000	0.558712
148	3s.20s	3S	3	0	0	77	0.558878	-1.000000	0.558878
149	3s.19p	1P*	1	1	1	75	0.558885	0.558885	0.558885
150	3s.19d	3D	3	2	0	76	0.559027	-1.000000	0.559027
151	3s.19d	1D	1	2	0	76	0.559032	0.559032	0.559032
152	3s.20p	3P*	3	1	1	78	0.559034	-1.000000	0.559034
153	3s.20s	1S	1	0	0	77	0.559108	-1.000000	0.559108
154	3s.20p	1P*	1	1	1	78	0.559204	0.559204	0.559204
155	3s.20d	3D	3	2	0	79	0.559302	-1.000000	0.559302
156	3s.20d	1D	1	2	0	79	0.559328	0.559328	0.559328
157	3p2	1D	1	2	0	13	0.634702	-1.000000	0.634702
158	3p2	1S	1	0	0	13	0.688048	-1.000000	0.688048
