Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki
3s.6h	1H*	1	5	1	11	0.53417510	3s.4d	3D	3	2	0	15	0.49383643	4.207e-06
3s.6h	3H*	3	5	1	33	0.53417510	3s.3d	1D	1	2	0	5	0.42285584	5.089e-06
3s.6h	3H*	3	5	1	33	0.53417510	3s.4d	1D	1	2	0	5	0.48419848	8.093e-06
3s.6h	3H*	3	5	1	33	0.53417510	3s.5d	1D	1	2	0	5	0.51311972	5.262e-07
3s.7d	1D	1	2	0	5	0.53802135	3s.3p	1P*	1	1	1	3	0.31941062	9.367e-03
3s.7d	1D	1	2	0	5	0.53802135	3s.4p	1P*	1	1	1	3	0.44968048	1.201e-05
3s.7d	3D	3	2	0	15	0.54055244	3s.3p	3P*	3	1	1	9	0.19948414	1.698e-02
3s.7d	3D	3	2	0	15	0.54055244	3s.4p	3P*	3	1	1	9	0.43602120	3.195e-06
3s.8p	3P*	3	1	1	9	0.54076870	3s.3d	3D	3	2	0	15	0.43701672	2.405e-07
3s.7f	1F*	1	3	1	7	0.54129958	3s2	1S	1	0	0	1	0.00000000	6.914e-03
3s.7f	1F*	1	3	1	7	0.54129958	3s.4s	1S	1	0	0	1	0.39643154	5.603e-06
3s.7f	1F*	1	3	1	7	0.54129958	3s.3d	1D	1	2	0	5	0.42285584	5.288e-07
3s.7f	3F*	3	3	1	21	0.54129958	3s.4s	3S	3	0	0	3	0.37541836	1.412e-05
3s.7f	3F*	3	3	1	21	0.54129958	3s.3d	3D	3	2	0	15	0.43701672	3.220e-07
3s.7f	3F*	3	3	1	21	0.54129958	3s.5s	3S	3	0	0	3	0.47269724	8.191e-07
3s.7f	3F*	3	3	1	21	0.54129958	3s.6s	3S	3	0	0	3	0.50932360	1.499e-07
3s.8p	1P*	1	1	1	3	0.54132160	3s.3d	1D	1	2	0	5	0.42285584	2.484e-04
3s.8p	1P*	1	1	1	3	0.54132160	3s.4d	1D	1	2	0	5	0.48419848	3.630e-06
3s.8p	1P*	1	1	1	3	0.54132160	3s.5d	1D	1	2	0	5	0.51311972	1.156e-07
3s.7g	3G	3	4	0	27	0.54150711	3s.3p	3P*	3	1	1	9	0.19948414	1.124e-04
3s.7g	3G	3	4	0	27	0.54150711	3s.4p	3P*	3	1	1	9	0.43602120	1.112e-05
3s.7g	3G	3	4	0	27	0.54150711	3s.5p	3P*	3	1	1	9	0.49437523	7.583e-07
3s.7g	1G	1	4	0	9	0.54150711	3s.3p	1P*	1	1	1	3	0.31941062	2.667e-04
3s.7g	1G	1	4	0	9	0.54150711	3s.4p	1P*	1	1	1	3	0.44968048	2.099e-06
3s.7g	1G	1	4	0	9	0.54150711	3s.5p	1P*	1	1	1	3	0.49852264	1.214e-06
3s.7g	1G	1	4	0	9	0.54150711	3s.6p	1P*	1	1	1	3	0.52138137	1.499e-07
3s.7h	1H*	1	5	1	11	0.54155556	3s.3d	1D	1	2	0	5	0.42285584	4.341e-06
3s.7h	1H*	1	5	1	11	0.54155556	3s.4d	1D	1	2	0	5	0.48419848	5.442e-06
3s.7h	1H*	1	5	1	11	0.54155556	3s.5d	1D	1	2	0	5	0.51311972	2.176e-07
