Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	fik	gf	source
3s.10f	3F*	3	3	1	5	0.55188736	3s.8g	3G	3	4	0	7	0.54631250	4.613e+03	1.320e-02	9.239e-02	auto
3s.10f	3F*	3	3	1	5	0.55188736	3s.10s	3S	3	0	0	3	0.54770790	4.334e-21	5.148e-26	1.544e-25	auto
3s.10f	3F*	3	3	1	5	0.55188736	3s.9d	1D	1	2	0	5	0.54791972	1.755e-06	1.388e-11	6.940e-11	auto
3s.10f	3F*	3	3	1	5	0.55188736	3s.9d	3D	3	2	0	3	0.54916218	1.960e+04	5.476e-01	1.643e+00	auto
3s.10f	3F*	3	3	1	5	0.55188736	3s.9d	3D	3	2	0	5	0.54916218	3.629e+03	6.083e-02	3.042e-01	auto
3s.10f	3F*	3	3	1	5	0.55188736	3s.9d	3D	3	2	0	7	0.54916218	1.037e+02	1.242e-03	8.692e-03	auto
3s.10f	3F*	3	3	1	5	0.55188736	3s.9g	3G	3	4	0	7	0.54960627	5.500e+03	9.399e-02	6.580e-01	auto
3s.10f	3F*	3	3	1	5	0.55188736	3s.11s	3S	3	0	0	3	0.55059550	2.193e-23	2.726e-27	8.179e-27	auto
3s.10f	3F*	3	3	1	5	0.55188736	3s.10d	1D	1	2	0	5	0.55072514	5.563e-07	5.127e-11	2.564e-10	auto
3s.10f	3F*	3	3	1	5	0.55188736	3s.10d	3D	3	2	0	3	0.55163860	3.047e+02	1.022e+00	3.065e+00	auto
3s.10f	3F*	3	3	1	5	0.55188736	3s.10d	3D	3	2	0	5	0.55163860	5.642e+01	1.135e-01	5.675e-01	auto
3s.10f	3F*	3	3	1	5	0.55188736	3s.10d	3D	3	2	0	7	0.55163860	1.612e+00	2.316e-03	1.622e-02	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.3d	1D	1	2	0	5	0.42285584	1.202e+05	1.258e-03	6.292e-03	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.3d	3D	3	2	0	5	0.43701659	4.780e+05	6.320e-03	3.160e-02	nist
3s.10f	3F*	3	3	1	7	0.55188736	3s.3d	3D	3	2	0	7	0.43701675	2.455e+04	2.316e-04	1.621e-03	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.4d	1D	1	2	0	5	0.48419848	6.195e+04	2.357e-03	1.178e-02	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.4d	3D	3	2	0	5	0.49383652	1.343e+05	6.946e-03	3.473e-02	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.4d	3D	3	2	0	7	0.49383617	1.679e+04	6.203e-04	4.342e-03	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.5d	1D	1	2	0	5	0.51311972	3.267e+04	3.789e-03	1.894e-02	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.5d	3D	3	2	0	5	0.51913287	8.082e+04	1.313e-02	6.565e-02	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.5d	3D	3	2	0	7	0.51913260	1.010e+04	1.172e-03	8.204e-03	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.5g	3G	3	4	0	7	0.52181666	8.263e+01	1.138e-05	7.963e-05	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.5g	1G	1	4	0	9	0.52181666	1.428e+01	1.529e-06	1.376e-05	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.5g	3G	3	4	0	9	0.52181666	1.882e+03	2.015e-04	1.814e-03	auto
3s.10f	3F*	3	3	1	7	0.55188736	3p2	3P	3	1	0	5	0.52738610	1.239e+00	3.597e-07	1.799e-06	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.6d	1D	1	2	0	5	0.52874672	1.822e+04	5.930e-03	2.965e-02	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.6d	3D	3	2	0	5	0.53257046	4.920e+04	2.298e-02	1.149e-01	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.6d	3D	3	2	0	7	0.53257037	6.150e+03	2.052e-03	1.436e-02	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.6g	3G	3	4	0	7	0.53410086	1.236e+02	4.864e-05	3.405e-04	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.6g	1G	1	4	0	9	0.53410086	4.429e+01	1.356e-05	1.220e-04	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.6g	3G	3	4	0	9	0.53410086	2.788e+03	8.533e-04	7.680e-03	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.7d	1D	1	2	0	5	0.53802135	1.109e+04	1.005e-02	5.027e-02	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.7d	3D	3	2	0	5	0.54055245	3.170e+04	4.300e-02	2.150e-01	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.7d	3D	3	2	0	7	0.54055235	3.963e+03	3.840e-03	2.688e-02	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.7g	3G	3	4	0	7	0.54150711	1.590e+02	1.837e-04	1.286e-03	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.7g	3G	3	4	0	9	0.54150711	9.040e+01	8.124e-05	7.311e-04	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.7g	1G	1	4	0	9	0.54150711	3.553e+03	3.193e-03	2.874e-02	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.8d	1D	1	2	0	5	0.54393522	7.026e+03	1.936e-02	9.682e-02	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.8d	3D	3	2	0	5	0.54567747	2.118e+04	9.573e-02	4.786e-01	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.8d	3D	3	2	0	7	0.54567735	2.648e+03	8.548e-03	5.984e-02	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.8g	3G	3	4	0	7	0.54631250	1.931e+02	7.735e-04	5.415e-03	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.8g	3G	3	4	0	9	0.54631250	1.497e+02	4.664e-04	4.198e-03	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.8g	1G	1	4	0	9	0.54631250	4.274e+03	1.332e-02	1.198e-01	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.9d	1D	1	2	0	5	0.54791972	4.159e+03	4.605e-02	2.302e-01	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.9d	3D	3	2	0	5	0.54916218	1.389e+04	3.260e-01	1.630e+00	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.9d	3D	3	2	0	7	0.54916218	1.736e+03	2.910e-02	2.037e-01	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.9g	3G	3	4	0	7	0.54960627	2.302e+02	5.508e-03	3.855e-02	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.9g	3G	3	4	0	9	0.54960627	2.297e+02	4.274e-03	3.847e-02	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.9g	1G	1	4	0	9	0.54960627	5.046e+03	9.390e-02	8.451e-01	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.10d	1D	1	2	0	5	0.55072514	1.171e+04	1.511e+00	7.555e+00	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.10d	3D	3	2	0	5	0.55163860	2.160e+02	6.084e-01	3.042e+00	auto
3s.10f	3F*	3	3	1	7	0.55188736	3s.10d	3D	3	2	0	7	0.55163860	2.700e+01	5.432e-02	3.802e-01	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.3d	3D	3	2	0	7	0.43701675	5.380e+05	6.530e-03	4.571e-02	nist
3s.10f	3F*	3	3	1	9	0.55188736	3s.4d	3D	3	2	0	7	0.49383617	2.880e+05	1.370e-02	9.590e-02	nist
3s.10f	3F*	3	3	1	9	0.55188736	3s.5d	3D	3	2	0	7	0.51913260	1.358e+05	2.026e-02	1.418e-01	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.5g	3G	3	4	0	7	0.52181666	1.523e+00	2.696e-07	1.887e-06	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.5g	1G	1	4	0	9	0.52181666	4.138e+01	5.697e-06	5.127e-05	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.5g	3G	3	4	0	9	0.52181666	5.456e+01	7.512e-06	6.760e-05	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.5g	3G	3	4	0	11	0.52181666	1.876e+03	2.113e-04	2.325e-03	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.6d	3D	3	2	0	7	0.53257037	8.265e+04	3.545e-02	2.482e-01	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.6g	3G	3	4	0	7	0.53410086	2.279e+00	1.153e-06	8.071e-06	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.6g	1G	1	4	0	9	0.53410086	6.721e+01	2.645e-05	2.380e-04	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.6g	3G	3	4	0	9	0.53410086	7.634e+01	3.004e-05	2.704e-04	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.6g	3G	3	4	0	11	0.53410086	2.807e+03	9.038e-04	9.941e-03	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.7d	3D	3	2	0	7	0.54055235	5.325e+04	6.634e-02	4.644e-01	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.7g	3G	3	4	0	7	0.54150711	2.932e+00	4.356e-06	3.049e-05	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.7g	3G	3	4	0	9	0.54150711	9.250e+01	1.069e-04	9.619e-04	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.7g	1G	1	4	0	9	0.54150711	9.218e+01	1.065e-04	9.585e-04	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.7g	3G	3	4	0	11	0.54150711	3.611e+03	3.414e-03	3.755e-02	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.8d	3D	3	2	0	7	0.54567735	3.558e+04	1.477e-01	1.034e+00	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.8g	3G	3	4	0	7	0.54631250	3.559e+00	1.833e-05	1.283e-04	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.8g	3G	3	4	0	9	0.54631250	1.183e+02	4.739e-04	4.265e-03	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.8g	1G	1	4	0	9	0.54631250	1.059e+02	4.242e-04	3.818e-03	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.8g	3G	3	4	0	11	0.54631250	4.384e+03	1.437e-02	1.580e-01	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.9d	3D	3	2	0	7	0.54916218	2.332e+04	5.026e-01	3.518e+00	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.9g	3G	3	4	0	7	0.54960627	4.243e+00	1.305e-04	9.136e-04	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.9g	3G	3	4	0	9	0.54960627	1.478e+02	3.536e-03	3.183e-02	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.9g	1G	1	4	0	9	0.54960627	1.195e+02	2.859e-03	2.573e-02	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.9g	3G	3	4	0	11	0.54960627	5.227e+03	1.023e-01	1.126e+00	auto
3s.10f	3F*	3	3	1	9	0.55188736	3s.10d	3D	3	2	0	7	0.55163860	3.629e+02	9.387e-01	6.571e+00	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s2	1S	1	0	0	1	0.00000000	4.548e+06	5.577e-03	5.577e-03	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.4s	3S	3	0	0	3	0.37541836	4.669e+00	1.866e-08	5.599e-08	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.4s	1S	1	0	0	1	0.39643154	1.282e+04	1.981e-04	1.981e-04	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.3d	1D	1	2	0	5	0.42285584	1.119e+06	5.020e-03	2.510e-02	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.3d	3D	3	2	0	3	0.43701687	7.445e-01	7.023e-09	2.107e-08	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.3d	3D	3	2	0	5	0.43701659	2.101e+00	1.189e-08	5.946e-08	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.5s	3S	3	0	0	3	0.47269724	1.137e+00	2.257e-08	6.770e-08	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.5s	1S	1	0	0	1	0.47892739	1.992e+04	1.397e-03	1.397e-03	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.4d	1D	1	2	0	5	0.48419848	3.496e+05	5.698e-03	2.849e-02	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.4d	3D	3	2	0	3	0.49383689	2.824e-02	1.043e-09	3.129e-09	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.4d	3D	3	2	0	5	0.49383652	8.673e-02	1.922e-09	9.610e-09	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.6s	3S	3	0	0	3	0.50932360	4.809e-01	3.304e-08	9.911e-08	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.6s	1S	1	0	0	1	0.51201246	1.664e+04	3.907e-03	3.907e-03	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.5d	1D	1	2	0	5	0.51311972	1.095e+05	5.440e-03	2.720e-02	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.5d	3D	3	2	0	3	0.51913308	4.997e-03	5.796e-10	1.739e-09	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.5d	3D	3	2	0	5	0.51913287	1.344e-02	9.354e-10	4.677e-09	auto
3s.11p	1P*	1	1	1	3	0.55189390	3p2	3P	3	1	0	1	0.52682870	1.057e+00	6.283e-07	6.283e-07	auto
3s.11p	1P*	1	1	1	3	0.55189390	3p2	3P	3	1	0	3	0.52701670	1.512e-04	3.042e-11	9.125e-11	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.7s	3S	3	0	0	3	0.52721550	2.878e-01	5.883e-08	1.765e-07	auto
3s.11p	1P*	1	1	1	3	0.55189390	3p2	3P	3	1	0	5	0.52738610	2.052e+01	2.552e-06	1.276e-05	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.7s	1S	1	0	0	1	0.52862060	1.295e+04	8.929e-03	8.929e-03	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.6d	1D	1	2	0	5	0.52874672	4.753e+04	6.626e-03	3.313e-02	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.6d	3D	3	2	0	3	0.53257065	2.767e-02	9.226e-09	2.768e-08	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.6d	3D	3	2	0	5	0.53257046	8.074e-02	1.615e-08	8.076e-08	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.8s	3S	3	0	0	3	0.53730801	2.150e-01	1.258e-07	3.774e-07	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.7d	1D	1	2	0	5	0.53802135	2.508e+04	9.734e-03	4.867e-02	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.8s	1S	1	0	0	1	0.53813530	1.024e+04	2.020e-02	2.020e-02	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.7d	3D	3	2	0	3	0.54055262	4.202e-02	4.067e-08	1.220e-07	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.7d	3D	3	2	0	5	0.54055245	1.241e-01	7.207e-08	3.603e-07	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.9s	3S	3	0	0	3	0.54356300	1.917e-01	3.439e-07	1.032e-06	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.8d	1D	1	2	0	5	0.54393522	1.599e+04	1.886e-02	9.428e-02	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.9s	1S	1	0	0	1	0.54409120	8.650e+03	5.306e-02	5.306e-02	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.8d	3D	3	2	0	3	0.54567761	4.815e-02	1.551e-07	4.654e-07	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.8d	3D	3	2	0	5	0.54567747	1.427e-01	2.758e-07	1.379e-06	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.10s	3S	3	0	0	3	0.54770790	2.128e-01	1.512e-06	4.536e-06	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.9d	1D	1	2	0	5	0.54791972	1.336e+04	6.318e-02	3.159e-01	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.10s	1S	1	0	0	1	0.54806540	8.381e+03	2.136e-01	2.136e-01	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.9d	3D	3	2	0	3	0.54916218	4.674e-02	7.798e-07	2.339e-06	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.9d	3D	3	2	0	5	0.54916218	1.387e-01	1.388e-06	6.942e-06	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.11s	3S	3	0	0	3	0.55059550	4.063e-01	3.000e-05	9.001e-05	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.10d	1D	1	2	0	5	0.55072514	3.465e+04	1.895e+00	9.474e+00	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.11s	1S	1	0	0	1	0.55111500	5.349e+03	3.293e+00	3.293e+00	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.10d	3D	3	2	0	3	0.55163860	2.721e-03	5.197e-06	1.559e-05	auto
3s.11p	1P*	1	1	1	3	0.55189390	3s.10d	3D	3	2	0	5	0.55163860	8.185e-03	9.380e-06	4.690e-05	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.3p	3P*	3	1	1	1	0.19911554	4.286e+05	1.280e-03	1.280e-03	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.3p	3P*	3	1	1	3	0.19929833	1.285e+06	1.281e-03	3.843e-03	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.3p	3P*	3	1	1	5	0.19966935	2.140e+06	1.283e-03	6.413e-03	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.3p	1P*	1	1	1	3	0.31941062	2.029e+00	4.642e-09	1.393e-08	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.4p	3P*	3	1	1	1	0.43596035	3.986e+04	1.093e-03	1.093e-03	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.4p	3P*	3	1	1	3	0.43599038	1.195e+05	1.092e-03	3.277e-03	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.4p	3P*	3	1	1	5	0.43605187	1.989e+05	1.092e-03	5.461e-03	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.4p	1P*	1	1	1	3	0.44968048	1.227e+00	1.440e-08	4.319e-08	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.5p	3P*	3	1	1	1	0.49435152	1.382e+04	1.517e-03	1.517e-03	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.5p	3P*	3	1	1	3	0.49436316	4.144e+04	1.517e-03	4.550e-03	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.5p	3P*	3	1	1	5	0.49438722	6.898e+04	1.516e-03	7.580e-03	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.4f	3F*	3	3	1	5	0.49825033	1.746e-16	4.401e-24	2.200e-23	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.5p	1P*	1	1	1	3	0.49852264	8.074e-01	3.426e-08	1.028e-07	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.6p	3P*	3	1	1	1	0.51957785	6.846e+03	2.332e-03	2.332e-03	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.6p	3P*	3	1	1	3	0.51958373	2.052e+04	2.331e-03	6.993e-03	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.6p	3P*	3	1	1	5	0.51959559	3.417e+04	2.331e-03	1.165e-02	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.5f	3F*	3	3	1	5	0.52128328	1.089e-19	8.248e-27	4.124e-26	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.6p	1P*	1	1	1	3	0.52138137	5.616e-01	7.134e-08	2.140e-07	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.7p	3P*	3	1	1	1	0.53287880	4.206e+03	4.003e-03	4.003e-03	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.7p	3P*	3	1	1	3	0.53288182	1.261e+04	4.002e-03	1.201e-02	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.7p	3P*	3	1	1	5	0.53288856	2.099e+04	4.000e-03	2.000e-02	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.6f	3F*	3	3	1	5	0.53377948	1.015e-20	2.121e-27	1.060e-26	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.7p	1P*	1	1	1	3	0.53382230	4.219e-01	1.476e-07	4.427e-07	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.8p	3P*	3	1	1	1	0.54076870	2.952e+03	7.761e-03	7.761e-03	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.8p	3P*	3	1	1	3	0.54076870	8.849e+03	7.755e-03	2.326e-02	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.8p	3P*	3	1	1	5	0.54076870	1.473e+04	7.745e-03	3.873e-02	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.7f	3F*	3	3	1	5	0.54129958	4.379e-21	2.522e-27	1.261e-26	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.8p	1P*	1	1	1	3	0.54132160	3.369e-01	3.247e-07	9.740e-07	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.9p	3P*	3	1	1	1	0.54582950	2.323e+03	1.845e-02	1.845e-02	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.9p	3P*	3	1	1	3	0.54582950	6.962e+03	1.843e-02	5.528e-02	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.9p	3P*	3	1	1	5	0.54582950	1.159e+04	1.841e-02	9.203e-02	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.8f	3F*	3	3	1	5	0.54617128	7.850e-22	1.381e-27	6.904e-27	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.9p	1P*	1	1	1	3	0.54618280	2.917e-01	8.582e-07	2.575e-06	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.10p	3P*	3	1	1	1	0.54922600	2.209e+03	6.885e-02	6.885e-02	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.10p	3P*	3	1	1	3	0.54922700	6.618e+03	6.879e-02	2.064e-01	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.10p	3P*	3	1	1	5	0.54923000	1.101e+04	6.879e-02	3.439e-01	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.9f	3F*	3	3	1	5	0.54950572	7.514e-23	5.543e-28	2.772e-27	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.10p	1P*	1	1	1	3	0.54951500	2.143e-01	2.650e-06	7.951e-06	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.11p	3P*	3	1	1	1	0.55164500	4.001e+03	1.374e+00	1.374e+00	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.11p	3P*	3	1	1	3	0.55164600	1.197e+04	1.373e+00	4.120e+00	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.11p	3P*	3	1	1	5	0.55164700	1.985e+04	1.369e+00	6.845e+00	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.10f	3F*	3	3	1	5	0.55188736	9.425e-25	1.099e-28	5.495e-28	auto
3s.12s	3S	3	0	0	3	0.55268770	3s.11p	1P*	1	1	1	3	0.55189390	8.297e-02	1.639e-05	4.918e-05	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.3p	3P*	3	1	1	3	0.19929833	9.365e+00	1.555e-08	4.666e-08	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.3p	3P*	3	1	1	5	0.19966935	4.028e+01	4.022e-08	2.011e-07	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.3p	1P*	1	1	1	3	0.31941062	1.864e+04	7.102e-05	2.131e-04	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.4p	3P*	3	1	1	3	0.43599038	2.875e-01	4.374e-09	1.312e-08	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.4p	3P*	3	1	1	5	0.43605187	4.227e-05	3.863e-13	1.931e-12	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.4p	1P*	1	1	1	3	0.44968048	1.205e+04	2.353e-04	7.058e-04	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.5p	3P*	3	1	1	3	0.49436316	5.370e-01	3.266e-08	9.798e-08	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.5p	3P*	3	1	1	5	0.49438722	5.627e-04	2.055e-11	1.028e-10	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.4f	1F*	1	3	1	7	0.49824836	1.986e+03	5.941e-05	4.158e-04	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.4f	3F*	3	3	1	5	0.49825033	1.620e-06	6.785e-14	3.392e-13	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.4f	3F*	3	3	1	7	0.49825076	2.938e+01	8.789e-07	6.152e-06	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.5p	1P*	1	1	1	3	0.49852264	2.057e+04	1.450e-03	4.351e-03	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.6p	3P*	3	1	1	3	0.51958373	5.834e-01	1.099e-07	3.297e-07	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.6p	3P*	3	1	1	5	0.51959559	4.932e-05	5.578e-12	2.789e-11	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.5f	1F*	1	3	1	7	0.52128269	4.858e+03	4.357e-04	3.050e-03	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.5f	3F*	3	3	1	5	0.52128328	7.019e-11	8.813e-18	4.406e-17	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.5f	3F*	3	3	1	7	0.52128364	1.840e+02	1.650e-05	1.155e-04	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.6p	1P*	1	1	1	3	0.52138137	1.707e+04	3.594e-03	1.078e-02	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.7p	3P*	3	1	1	3	0.53288182	5.639e-01	2.958e-07	8.873e-07	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.7p	3P*	3	1	1	5	0.53288856	9.201e-06	2.897e-12	1.449e-11	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.6f	1F*	1	3	1	7	0.53377902	6.955e+03	1.715e-03	1.200e-02	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.6f	3F*	3	3	1	5	0.53377948	3.384e-08	1.168e-14	5.840e-14	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.6f	3F*	3	3	1	7	0.53377948	4.937e+02	1.217e-04	8.520e-04	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.7p	1P*	1	1	1	3	0.53382230	1.407e+04	8.130e-03	2.439e-02	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.8p	3P*	3	1	1	3	0.54076870	5.362e-01	7.722e-07	2.317e-06	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.8p	3P*	3	1	1	5	0.54076870	2.822e-06	2.438e-12	1.219e-11	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.7f	1F*	1	3	1	7	0.54129958	5.591e+03	3.778e-03	2.644e-02	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.7f	3F*	3	3	1	5	0.54129958	5.817e-08	5.502e-14	2.751e-13	auto
3s.11d	1D	1	2	0	5	0.55277180	3s.7f	3F*	3	3	1	7	0.54129958	2.752e+03	1.859e-03	1.302e-02	auto
