Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	fik	gf	source
3s.5s	3S	3	0	0	3	0.47269724	3s.4p	3P*	3	1	1	5	0.43605187	4.980e+06	2.770e-01	1.385e+00	nist
3s.5s	3S	3	0	0	3	0.47269724	3s.4p	1P*	1	1	1	3	0.44968048	4.166e+00	9.790e-07	2.937e-06	auto
3s.5s	1S	1	0	0	1	0.47892739	3s.3p	3P*	3	1	1	3	0.19929833	6.466e+01	3.432e-08	1.029e-07	auto
3s.5s	1S	1	0	0	1	0.47892739	3s.3p	1P*	1	1	1	3	0.31941062	3.860e+06	6.300e-03	1.890e-02	nist
3s.5s	1S	1	0	0	1	0.47892739	3s.4p	3P*	3	1	1	3	0.43599038	2.101e+02	4.729e-06	1.419e-05	auto
3s.5s	1S	1	0	0	1	0.47892739	3s.4p	1P*	1	1	1	3	0.44968048	6.100e+06	2.960e-01	8.880e-01	nist
3s.4d	1D	1	2	0	5	0.48419848	3s.3p	3P*	3	1	1	3	0.19929833	2.498e+02	6.386e-07	1.916e-06	auto
3s.4d	1D	1	2	0	5	0.48419848	3s.3p	3P*	3	1	1	5	0.19966935	3.205e+02	4.929e-07	2.464e-06	auto
3s.4d	1D	1	2	0	5	0.48419848	3s.3p	1P*	1	1	1	3	0.31941062	1.390e+07	1.060e-01	3.180e-01	nist
3s.4d	1D	1	2	0	5	0.48419848	3s.4p	3P*	3	1	1	3	0.43599038	1.535e+02	1.370e-05	4.111e-05	auto
3s.4d	1D	1	2	0	5	0.48419848	3s.4p	3P*	3	1	1	5	0.43605187	5.337e-03	2.866e-10	1.433e-09	auto
3s.4d	1D	1	2	0	5	0.48419848	3s.4p	1P*	1	1	1	3	0.44968048	5.360e+06	9.340e-01	2.802e+00	nist
3s.4d	3D	3	2	0	3	0.49383689	3s.3p	3P*	3	1	1	1	0.19911554	3.090e+07	1.330e-01	1.330e-01	nist
