Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	source
3s.3p	3P*	3	1	1	5	0.19966935	3s2	1S	1	0	0	1	0.00000000	4.512e-04	auto
3s.4s	3S	3	0	0	3	0.37541836	3s.3p	3P*	3	1	1	3	0.19929833	4.961e-05	auto
3s.4s	3S	3	0	0	3	0.37541836	3s.3p	3P*	3	1	1	5	0.19966935	1.466e-04	auto
3s.4s	3S	3	0	0	3	0.37541836	3s.3p	1P*	1	1	1	3	0.31941062	1.919e-06	auto
3s.4s	1S	1	0	0	1	0.39643154	3s.3p	3P*	3	1	1	5	0.19966935	2.952e-04	auto
3s.3d	1D	1	2	0	5	0.42285584	3s.3p	3P*	3	1	1	1	0.19911554	2.836e-04	auto
3s.3d	1D	1	2	0	5	0.42285584	3s.3p	3P*	3	1	1	3	0.19929833	6.375e-04	auto
3s.3d	1D	1	2	0	5	0.42285584	3s.3p	3P*	3	1	1	5	0.19966935	4.910e-04	auto
3s.3d	1D	1	2	0	5	0.42285584	3s.3p	1P*	1	1	1	3	0.31941062	5.134e-05	auto
3s.4p	3P*	3	1	1	1	0.43596035	3s.3d	1D	1	2	0	5	0.42285584	2.274e-09	auto
3s.4p	3P*	3	1	1	3	0.43599038	3s.4s	3S	3	0	0	3	0.37541836	2.225e-06	auto
3s.4p	3P*	3	1	1	5	0.43605187	3s2	1S	1	0	0	1	0.00000000	5.311e-06	auto
3s.4p	3P*	3	1	1	5	0.43605187	3s.4s	3S	3	0	0	3	0.37541836	4.008e-06	auto
3s.4p	3P*	3	1	1	5	0.43605187	3s.4s	1S	1	0	0	1	0.39643154	5.397e-07	auto
3s.3d	3D	3	2	0	3	0.43701687	3s.3p	3P*	3	1	1	3	0.19929833	3.315e-05	auto
3s.3d	3D	3	2	0	3	0.43701687	3s.3p	3P*	3	1	1	5	0.19966935	2.768e-06	auto
3s.3d	3D	3	2	0	3	0.43701687	3s.3p	1P*	1	1	1	3	0.31941062	1.931e-06	auto
3s.3d	3D	3	2	0	3	0.43701687	3s.4p	3P*	3	1	1	3	0.43599038	3.792e-16	auto
3s.3d	3D	3	2	0	5	0.43701659	3s.3p	3P*	3	1	1	1	0.19911554	2.134e-05	auto
3s.3d	3D	3	2	0	5	0.43701659	3s.3p	3P*	3	1	1	3	0.19929833	4.235e-04	auto
3s.3d	3D	3	2	0	5	0.43701659	3s.3p	3P*	3	1	1	5	0.19966935	1.976e-04	auto
3s.3d	3D	3	2	0	5	0.43701659	3s.3p	1P*	1	1	1	3	0.31941062	1.735e-05	auto
3s.3d	3D	3	2	0	5	0.43701659	3s.4p	3P*	3	1	1	1	0.43596035	3.189e-16	auto
3s.3d	3D	3	2	0	7	0.43701675	3s.3p	3P*	3	1	1	1	0.19911554	6.045e-07	auto
3s.3d	3D	3	2	0	7	0.43701675	3s.3p	3P*	3	1	1	3	0.19929833	2.201e-05	auto
3s.3d	3D	3	2	0	7	0.43701675	3s.3p	3P*	3	1	1	5	0.19966935	1.329e-03	auto
3s.3d	3D	3	2	0	7	0.43701675	3s.3p	1P*	1	1	1	3	0.31941062	6.948e-05	auto
3s.3d	3D	3	2	0	7	0.43701675	3s.4p	3P*	3	1	1	1	0.43596035	1.860e-19	auto
3s.4p	1P*	1	1	1	3	0.44968048	3s.4s	3S	3	0	0	3	0.37541836	6.745e-06	auto
