Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	fik	gf
3s.14f	3F*	3	3	1	21	0.55684840	3s.9d	3D	3	2	0	15	0.54916218	8.141e+03	2.402e-02	3.603e-01
3s.14f	3F*	3	3	1	21	0.55684840	3s.9g	1G	1	4	0	9	0.54960627	1.013e+03	5.610e-03	5.049e-02
3s.14f	3F*	3	3	1	21	0.55684840	3s.10d	3D	3	2	0	15	0.55163860	6.246e+03	4.011e-02	6.016e-01
3s.14f	3F*	3	3	1	21	0.55684840	3s.11d	3D	3	2	0	15	0.55346150	4.895e+03	7.437e-02	1.116e+00
3s.14f	3F*	3	3	1	21	0.55684840	3s.12d	3D	3	2	0	15	0.55484160	3.883e+03	1.680e-01	2.521e+00
3s.14f	3F*	3	3	1	21	0.55684840	3s.13d	3D	3	2	0	15	0.55591240	2.989e+03	5.946e-01	8.919e+00
3s.14f	3F*	3	3	1	21	0.55684840	3s.14d	3D	3	2	0	15	0.55675930	6.721e+01	1.475e+00	2.213e+01
3s.15p	1P*	1	1	1	3	0.55685110	3s2	1S	1	0	0	1	0.00000000	2.206e+06	2.657e-03	2.657e-03
3s.15p	1P*	1	1	1	3	0.55685110	3s.4s	1S	1	0	0	1	0.39643154	1.108e+04	1.607e-04	1.607e-04
3s.15p	1P*	1	1	1	3	0.55685110	3s.3d	1D	1	2	0	5	0.42285584	1.670e+06	6.946e-03	3.473e-02
3s.15p	1P*	1	1	1	3	0.55685110	3s.5s	1S	1	0	0	1	0.47892739	8.364e+03	5.144e-04	5.144e-04
3s.15p	1P*	1	1	1	3	0.55685110	3s.4d	1D	1	2	0	5	0.48419848	4.978e+05	7.045e-03	3.523e-02
3s.15p	1P*	1	1	1	3	0.55685110	3s.6s	1S	1	0	0	1	0.51201246	7.073e+03	1.314e-03	1.314e-03
3s.15p	1P*	1	1	1	3	0.55685110	3s.5d	1D	1	2	0	5	0.51311972	1.434e+05	5.600e-03	2.800e-02
3s.15p	1P*	1	1	1	3	0.55685110	3s.7s	1S	1	0	0	1	0.52862060	5.352e+03	2.508e-03	2.508e-03
3s.15p	1P*	1	1	1	3	0.55685110	3s.6d	1D	1	2	0	5	0.52874672	5.366e+04	5.074e-03	2.537e-02
3s.15p	1P*	1	1	1	3	0.55685110	3s.7d	1D	1	2	0	5	0.53802135	2.344e+04	4.937e-03	2.469e-02
3s.15p	1P*	1	1	1	3	0.55685110	3s.8s	1S	1	0	0	1	0.53813530	3.979e+03	4.242e-03	4.242e-03
3s.15p	1P*	1	1	1	3	0.55685110	3s.8d	1D	1	2	0	5	0.54393522	1.167e+04	5.224e-03	2.612e-02
