Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki
3s.3d	1D	1	2	0	5	0.42285584	3s2	1S	1	0	0	1	0.00000000	2.368e+03
3s.3d	1D	1	2	0	5	0.42285584	3s.4s	1S	1	0	0	1	0.39643154	2.912e-02
3s.4p	3P*	3	1	1	9	0.43602120	3s.3p	3P*	3	1	1	9	0.19948414	2.825e+01
3s.3d	3D	3	2	0	15	0.43701672	3s.4s	3S	3	0	0	3	0.37541836	2.621e+00
3s.4p	1P*	1	1	1	3	0.44968048	3s.3p	1P*	1	1	1	3	0.31941062	1.213e+01
3s.5s	3S	3	0	0	3	0.47269724	3s.3d	3D	3	2	0	15	0.43701672	9.155e-01
3s.5s	1S	1	0	0	1	0.47892739	3s.3d	1D	1	2	0	5	0.42285584	1.889e+00
3s.4d	1D	1	2	0	5	0.48419848	3s2	1S	1	0	0	1	0.00000000	9.065e+02
3s.4d	1D	1	2	0	5	0.48419848	3s.4s	1S	1	0	0	1	0.39643154	2.604e+01
3s.4d	1D	1	2	0	5	0.48419848	3s.3d	1D	1	2	0	5	0.42285584	1.398e-01
3s.4d	1D	1	2	0	5	0.48419848	3s.5s	1S	1	0	0	1	0.47892739	1.912e-04
3s.4d	3D	3	2	0	15	0.49383643	3s.4s	3S	3	0	0	3	0.37541836	6.559e+00
3s.4d	3D	3	2	0	15	0.49383643	3s.3d	3D	3	2	0	15	0.43701672	1.541e+00
3s.4d	3D	3	2	0	15	0.49383643	3s.5s	3S	3	0	0	3	0.47269724	2.067e-01
3s.5p	3P*	3	1	1	9	0.49437523	3s.3p	3P*	3	1	1	9	0.19948414	9.063e+00
3s.5p	3P*	3	1	1	9	0.49437523	3s.4p	3P*	3	1	1	9	0.43602120	3.550e+00
3s.4f	1F*	1	3	1	7	0.49824836	3s.3p	1P*	1	1	1	3	0.31941062	1.754e+02
3s.4f	1F*	1	3	1	7	0.49824836	3s.4p	1P*	1	1	1	3	0.44968048	8.346e+00
3s.4f	3F*	3	3	1	21	0.49825087	3s.3p	3P*	3	1	1	9	0.19948414	1.572e+02
3s.4f	3F*	3	3	1	21	0.49825087	3s.4p	3P*	3	1	1	9	0.43602120	1.378e+01
3s.4f	3F*	3	3	1	21	0.49825087	3s.5p	3P*	3	1	1	9	0.49437523	5.274e-05
3s.5p	1P*	1	1	1	3	0.49852264	3s.3p	1P*	1	1	1	3	0.31941062	6.996e+00
3s.5p	1P*	1	1	1	3	0.49852264	3s.4p	1P*	1	1	1	3	0.44968048	3.092e+00
3s.6s	3S	3	0	0	3	0.50932360	3s.3d	3D	3	2	0	15	0.43701672	2.565e-03
3s.6s	3S	3	0	0	3	0.50932360	3s.4d	3D	3	2	0	15	0.49383643	2.229e-01
3s.6s	1S	1	0	0	1	0.51201246	3s.3d	1D	1	2	0	5	0.42285584	2.236e+00
3s.6s	1S	1	0	0	1	0.51201246	3s.4d	1D	1	2	0	5	0.48419848	7.369e-01
3s.5d	1D	1	2	0	5	0.51311972	3s2	1S	1	0	0	1	0.00000000	4.901e+02
3s.5d	1D	1	2	0	5	0.51311972	3s.4s	1S	1	0	0	1	0.39643154	1.193e+01
3s.5d	1D	1	2	0	5	0.51311972	3s.3d	1D	1	2	0	5	0.42285584	3.708e+00
3s.5d	1D	1	2	0	5	0.51311972	3s.5s	1S	1	0	0	1	0.47892739	1.908e+00
3s.5d	1D	1	2	0	5	0.51311972	3s.4d	1D	1	2	0	5	0.48419848	2.323e-01
3s.5d	1D	1	2	0	5	0.51311972	3s.6s	1S	1	0	0	1	0.51201246	6.715e-07
3s.5d	3D	3	2	0	15	0.51913279	3s.4s	3S	3	0	0	3	0.37541836	4.329e+00
3s.5d	3D	3	2	0	15	0.51913279	3s.3d	3D	3	2	0	15	0.43701672	2.417e-01
3s.5d	3D	3	2	0	15	0.51913279	3s.5s	3S	3	0	0	3	0.47269724	4.555e-01
3s.5d	3D	3	2	0	15	0.51913279	3s.4d	3D	3	2	0	15	0.49383643	3.478e-01
3s.5d	3D	3	2	0	15	0.51913279	3s.6s	3S	3	0	0	3	0.50932360	3.283e-02
3s.6p	3P*	3	1	1	9	0.51958967	3s.3p	3P*	3	1	1	9	0.19948414	9.866e+01
3s.6p	3P*	3	1	1	9	0.51958967	3s.4p	3P*	3	1	1	9	0.43602120	1.128e+00
3s.6p	3P*	3	1	1	9	0.51958967	3s.5p	3P*	3	1	1	9	0.49437523	5.857e-01
3s.6p	3P*	3	1	1	9	0.51958967	3s.4f	3F*	3	3	1	21	0.49825087	5.701e-02
3s.5f	1F*	1	3	1	7	0.52128269	3s.3p	1P*	1	1	1	3	0.31941062	7.828e+01
3s.5f	1F*	1	3	1	7	0.52128269	3s.4p	1P*	1	1	1	3	0.44968048	1.867e+00
3s.5f	1F*	1	3	1	7	0.52128269	3s.4f	1F*	1	3	1	7	0.49824836	1.616e-01
3s.5f	1F*	1	3	1	7	0.52128269	3s.5p	1P*	1	1	1	3	0.49852264	1.585e+00
3s.5f	3F*	3	3	1	21	0.52128370	3s.3p	3P*	3	1	1	9	0.19948414	1.492e+02
3s.5f	3F*	3	3	1	21	0.52128370	3s.4p	3P*	3	1	1	9	0.43602120	9.110e-01
3s.5f	3F*	3	3	1	21	0.52128370	3s.5p	3P*	3	1	1	9	0.49437523	1.624e+00
3s.5f	3F*	3	3	1	21	0.52128370	3s.4f	3F*	3	3	1	21	0.49825087	1.619e-01
3s.5f	3F*	3	3	1	21	0.52128370	3s.6p	3P*	3	1	1	9	0.51958967	8.187e-06
3s.6p	1P*	1	1	1	3	0.52138137	3s.3p	1P*	1	1	1	3	0.31941062	5.420e+01
3s.6p	1P*	1	1	1	3	0.52138137	3s.4p	1P*	1	1	1	3	0.44968048	4.370e-01
3s.6p	1P*	1	1	1	3	0.52138137	3s.4f	1F*	1	3	1	7	0.49824836	9.817e-03
3s.6p	1P*	1	1	1	3	0.52138137	3s.5p	1P*	1	1	1	3	0.49852264	5.848e-01
3s.5g	1G	1	4	0	9	0.52181666	3s.3d	1D	1	2	0	5	0.42285584	1.330e+01
3s.5g	1G	1	4	0	9	0.52181666	3s.4d	1D	1	2	0	5	0.48419848	6.380e+00
3s.5g	1G	1	4	0	9	0.52181666	3s.5d	1D	1	2	0	5	0.51311972	1.639e-02
3s.5g	3G	3	4	0	27	0.52181666	3s.3d	3D	3	2	0	15	0.43701672	1.634e+01
3s.5g	3G	3	4	0	27	0.52181666	3s.4d	3D	3	2	0	15	0.49383643	2.356e+00
3s.5g	3G	3	4	0	27	0.52181666	3s.5d	3D	3	2	0	15	0.51913279	4.266e-05
3p2	3P	3	1	0	9	0.52720103	3s.3d	3D	3	2	0	15	0.43701672	4.926e-05
3s.7s	3S	3	0	0	3	0.52721550	3s.3d	3D	3	2	0	15	0.43701672	1.991e-01
3s.7s	3S	3	0	0	3	0.52721550	3s.4d	3D	3	2	0	15	0.49383643	1.469e-02
3s.7s	3S	3	0	0	3	0.52721550	3s.5d	3D	3	2	0	15	0.51913279	6.228e-02
3s.7s	1S	1	0	0	1	0.52862060	3s.3d	1D	1	2	0	5	0.42285584	2.166e+00
3s.7s	1S	1	0	0	1	0.52862060	3s.4d	1D	1	2	0	5	0.48419848	6.767e-01
3s.7s	1S	1	0	0	1	0.52862060	3s.5d	1D	1	2	0	5	0.51311972	3.150e-01
3s.6d	1D	1	2	0	5	0.52874672	3s2	1S	1	0	0	1	0.00000000	4.139e+02
3s.6d	1D	1	2	0	5	0.52874672	3s.4s	1S	1	0	0	1	0.39643154	9.694e+00
3s.6d	1D	1	2	0	5	0.52874672	3s.3d	1D	1	2	0	5	0.42285584	1.564e+01
3s.6d	1D	1	2	0	5	0.52874672	3s.5s	1S	1	0	0	1	0.47892739	1.171e+00
3s.6d	1D	1	2	0	5	0.52874672	3s.4d	1D	1	2	0	5	0.48419848	2.211e-02
3s.6d	1D	1	2	0	5	0.52874672	3s.6s	1S	1	0	0	1	0.51201246	2.600e-01
