AtomicNumber	IonCharge	ModelIndex	LevelNumber	SublevelNumber	2J	StatisticalWeight	ExcitationWaven	commentid
12	0	1	84	1	4	5	60535.34	2
12	0	1	84	2	2	3	60535.34	2
12	0	1	84	3	6	7	60535.34	2
12	0	1	85	1	4	5	60562.637	2
12	0	1	85	2	8	9	60562.637	2
12	0	1	85	3	6	7	60562.637	2
12	0	1	86	1	6	7	60562.637	2
12	0	1	87	1	2	3	60563.35	2
12	0	1	88	1	2	3	60650.46	2
12	0	1	89	1	4	5	60659.69	2
12	0	1	90	1	6	7	60735.38	2
12	0	1	90	2	4	5	60735.38	2
12	0	1	90	3	2	3	60735.38	2
12	0	1	91	1	4	5	60755.764	2
12	0	1	91	2	8	9	60755.764	2
12	0	1	91	3	6	7	60755.764	2
12	0	1	92	1	6	7	60755.764	2
12	0	1	93	1	2	3	60756.13	2
12	0	1	94	1	2	3	60822.17	2
12	0	1	95	1	4	5	60828.41	2
12	0	1	96	1	4	5	60886.83	2
12	0	1	96	2	2	3	60886.83	2
12	0	1	96	3	6	7	60886.83	2
12	0	1	97	1	6	7	60902.5	2
12	0	1	98	1	6	7	60902.5	2
12	0	1	98	2	4	5	60902.5	2
12	0	1	98	3	8	9	60902.5	2
12	0	1	99	1	2	3	60902.93	2
12	0	1	100	1	2	3	60953.9	2
12	0	1	101	1	4	5	60958.31	2
12	0	1	102	1	2	3	61004.33	2
12	0	1	102	2	6	7	61004.33	2
12	0	1	102	3	4	5	61004.33	2
12	0	1	103	1	6	7	61016.6	2
12	0	1	103	2	4	5	61016.6	2
12	0	1	103	3	8	9	61016.6	2
12	0	1	104	1	6	7	61016.6	2
12	0	1	105	1	2	3	61016.93	2
12	0	1	106	1	4	5	61060.5	2
12	0	1	107	1	4	5	61097.27	2
12	0	1	107	2	2	3	61097.27	2
12	0	1	107	3	6	7	61097.27	2
12	0	1	108	1	4	5	61107.05	2
12	0	1	108	2	8	9	61107.05	2
12	0	1	108	3	6	7	61107.05	2
12	0	1	109	1	6	7	61107.05	2
12	0	1	110	1	2	3	61107.34	2
12	0	1	111	1	4	5	61142.1	2
12	0	1	112	1	4	5	61179.97	2
12	0	1	112	2	8	9	61179.97	2
12	0	1	112	3	6	7	61179.97	2
12	0	1	113	1	6	7	61179.97	2
12	0	1	114	1	2	3	61180.24	2
12	0	1	115	1	4	5	61208.2	2
12	0	1	116	1	2	3	61239.83	2
12	0	1	117	1	4	5	61262.9	2
12	0	1	118	1	2	3	61289.19	2
12	0	1	119	1	4	5	61308.4	2
12	0	1	120	1	2	3	61330.55	2
12	0	1	121	1	4	5	61346.7	2
12	0	1	122	1	2	3	61365.55	2
12	0	1	123	1	4	5	61379.2	2
12	0	1	124	1	2	3	61395.43	2
12	0	1	125	1	4	5	61407	2
12	0	1	126	1	2	3	61421.14	2
12	0	1	127	1	4	5	61432	2
12	0	1	128	1	2	3	61443.41	2
12	0	1	129	1	4	5	61452	2
12	0	1	130	1	2	3	61462.82	2
12	0	1	131	1	4	5	61471	2
12	0	1	132	1	2	3	61479.87	2
12	0	1	133	1	4	5	61487	2
12	0	1	134	1	2	3	61494.9	2
12	0	1	135	1	2	3	61508.24	2
12	0	1	136	1	2	3	61520.12	2
12	0	1	137	1	2	3	61530.73	2
12	0	1	138	1	2	3	61540.26	2
12	0	1	139	1	2	3	61548.81	2
12	0	1	140	1	2	3	61556.63	2
12	0	1	141	1	2	3	61563.68	2
12	0	1	142	1	2	3	61570.11	2
12	0	1	143	1	2	3	61575.99	2
12	0	1	144	1	2	3	61581.34	2
12	0	1	145	1	2	3	61586.33	2
12	0	1	146	1	2	3	61590.82	2
12	0	1	147	1	2	3	61595.02	2
12	0	1	148	1	2	3	61598.87	2
12	0	1	149	1	2	3	61602.44	2
12	0	1	150	1	2	3	61605.74	2
12	0	1	151	1	2	3	61608.86	2
12	0	1	152	1	2	3	61611.67	2
12	0	1	153	1	2	3	61614.4	2
12	0	1	154	1	2	3	61616.88	2
12	0	1	155	1	2	3	61619.23	2
12	0	1	156	1	2	3	61621.43	2
12	0	1	157	1	2	3	61623.49	2
12	0	1	158	1	2	3	61625.45	2
12	0	1	159	1	2	3	61627.17	2
12	0	1	160	1	2	3	61628.94	2
12	0	1	161	1	2	3	61630.6	2
12	0	1	162	1	2	3	61631.99	2
12	0	1	163	1	2	3	61633.43	2
12	0	1	164	1	2	3	61634.87	2
12	0	1	165	1	2	3	61636.2	2
12	0	1	166	1	2	3	61637.27	2
12	0	1	167	1	2	3	61638.48	2
