Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	fik	gf
3s.6d	3D	3	2	0	5	0.53257046	3s.3p	3P*	3	1	1	3	0.19929833	9.370e+06	1.750e-02	5.250e-02
3s.6d	3D	3	2	0	5	0.53257046	3s.3p	3P*	3	1	1	5	0.19966935	2.181e+06	2.450e-03	1.225e-02
3s.6d	3D	3	2	0	5	0.53257046	3s.3p	1P*	1	1	1	3	0.31941062	8.332e+00	3.805e-08	1.141e-07
3s.6d	3D	3	2	0	5	0.53257046	3s.4p	3P*	3	1	1	3	0.43599038	1.810e+06	4.020e-02	1.206e-01
3s.6d	3D	3	2	0	5	0.53257046	3s.4p	3P*	3	1	1	5	0.43605187	4.928e+05	6.585e-03	3.293e-02
3s.6d	3D	3	2	0	5	0.53257046	3s.4p	1P*	1	1	1	3	0.44968048	1.055e+01	3.185e-07	9.554e-07
3s.6d	3D	3	2	0	5	0.53257046	3s.5p	3P*	3	1	1	3	0.49436316	7.740e+05	1.100e-01	3.300e-01
3s.6d	3D	3	2	0	5	0.53257046	3s.5p	3P*	3	1	1	5	0.49438722	2.374e+05	2.027e-02	1.014e-01
3s.6d	3D	3	2	0	5	0.53257046	3s.4f	1F*	1	3	1	7	0.49824836	5.237e+02	3.953e-05	2.767e-04
3s.6d	3D	3	2	0	5	0.53257046	3s.4f	3F*	3	3	1	5	0.49825033	4.531e+03	4.789e-04	2.395e-03
3s.6d	3D	3	2	0	5	0.53257046	3s.4f	3F*	3	3	1	7	0.49825076	3.573e+04	2.698e-03	1.888e-02
3s.6d	3D	3	2	0	5	0.53257046	3s.5p	1P*	1	1	1	3	0.49852264	9.276e+00	1.660e-06	4.981e-06
3s.6d	3D	3	2	0	5	0.53257046	3s.6p	3P*	3	1	1	3	0.51958373	3.864e+05	4.754e-01	1.426e+00
3s.6d	3D	3	2	0	5	0.53257046	3s.6p	3P*	3	1	1	5	0.51959559	1.284e+05	9.492e-02	4.746e-01
3s.6d	3D	3	2	0	5	0.53257046	3s.5f	1F*	1	3	1	7	0.52128269	2.371e+03	1.655e-03	1.158e-02
3s.6d	3D	3	2	0	5	0.53257046	3s.5f	3F*	3	3	1	5	0.52128328	8.142e+03	7.957e-03	3.978e-02
3s.6d	3D	3	2	0	5	0.53257046	3s.5f	3F*	3	3	1	7	0.52128364	6.277e+04	4.382e-02	3.067e-01
3s.6d	3D	3	2	0	5	0.53257046	3s.6p	1P*	1	1	1	3	0.52138137	4.052e+00	6.716e-06	2.015e-05
3s.6d	3D	3	2	0	7	0.53257037	3s.3p	3P*	3	1	1	5	0.19966935	1.250e+07	1.960e-02	9.800e-02
3s.6d	3D	3	2	0	7	0.53257037	3s.4p	3P*	3	1	1	5	0.43605187	2.410e+06	4.500e-02	2.250e-01
3s.6d	3D	3	2	0	7	0.53257037	3s.5p	3P*	3	1	1	5	0.49438722	1.030e+06	1.230e-01	6.150e-01
3s.6d	3D	3	2	0	7	0.53257037	3s.4f	1F*	1	3	1	7	0.49824836	4.676e+01	4.942e-06	3.459e-05
3s.6d	3D	3	2	0	7	0.53257037	3s.4f	3F*	3	3	1	5	0.49825033	9.248e+01	1.368e-05	6.842e-05
3s.6d	3D	3	2	0	7	0.53257037	3s.4f	3F*	3	3	1	7	0.49825076	3.190e+03	3.372e-04	2.361e-03
3s.6d	3D	3	2	0	7	0.53257037	3s.4f	3F*	3	3	1	9	0.49825125	5.230e+04	4.300e-03	3.870e-02
3s.6d	3D	3	2	0	7	0.53257037	3s.6p	3P*	3	1	1	5	0.51959559	5.134e+05	5.315e-01	2.658e+00
3s.6d	3D	3	2	0	7	0.53257037	3s.5f	1F*	1	3	1	7	0.52128269	2.117e+02	2.068e-04	1.448e-03
3s.6d	3D	3	2	0	7	0.53257037	3s.5f	3F*	3	3	1	5	0.52128328	1.662e+02	2.273e-04	1.137e-03
3s.6d	3D	3	2	0	7	0.53257037	3s.5f	3F*	3	3	1	7	0.52128364	5.605e+03	5.477e-03	3.834e-02
3s.6d	3D	3	2	0	7	0.53257037	3s.5f	3F*	3	3	1	9	0.52128398	6.731e+04	5.117e-02	4.605e-01
