AtomicNumber	IonCharge	ModelIndex	LineNumber	type	LowerLevel	LowerSublevel	UpperLevel	UpperSublevel	Wavelength	gf	A	RadDamping	StarkCoefficient	VanderWaalsCoefficient	EWavenLower	EWavenUpper	gLower	gUpper	2Jlower	2JUpper	broad	prd	nlteparm	commentid
12	0	1	670	1	26	2	39	1	73736.417	  0.60814	82907.795	   513795	8.7255e-05	7.95775e-09	 57262.76	58618.942	9	9	8	8	0	0	1	0
12	0	1	671	1	26	3	39	1	73736.417	 0.006166	840.61148	   513795	8.7255e-05	7.95775e-09	 57262.76	58618.942	11	9	10	8	0	0	1	0
12	0	1	672	1	27	1	39	2	73736.417	   5.9704	665955.25	   513795	8.7255e-05	7.95775e-09	 57262.76	58618.942	9	11	8	10	0	0	1	0
12	0	1	673	1	26	1	39	1	73736.417	   11.858	1616602.5	   513795	8.7255e-05	7.95775e-09	 57262.76	58618.942	7	9	6	8	0	0	1	0
12	0	1	674	1	27	1	40	1	73736.417	   9.2897	1036199.3	   513795	8.7255e-05	7.95775e-09	 57262.76	58618.942	9	11	8	10	0	0	1	0
12	0	1	675	1	26	3	39	2	73736.417	  0.33884	37795.169	   513795	8.7255e-05	7.95775e-09	 57262.76	58618.942	11	11	10	10	0	0	1	0
12	0	1	676	1	26	3	40	1	73736.417	  0.27164	30299.492	   513795	8.7255e-05	7.95775e-09	 57262.76	58618.942	11	11	10	10	0	0	1	0
12	0	1	677	1	26	2	39	2	73736.417	   8.9331	996423.17	   513795	8.7255e-05	7.95775e-09	 57262.76	58618.942	9	11	8	10	0	0	1	0
12	0	1	678	1	27	1	39	1	73736.417	 0.001845	251.52906	   513795	8.7255e-05	7.95775e-09	 57262.76	58618.942	9	9	8	8	0	0	1	0
12	0	1	679	1	26	2	40	1	73736.417	   5.7016	635972.54	   513795	8.7255e-05	7.95775e-09	 57262.76	58618.942	9	11	8	10	0	0	1	0
12	0	1	680	1	26	3	39	3	73736.417	    18.03	1701714.4	   513795	8.7255e-05	7.95775e-09	 57262.76	58618.942	11	13	10	12	0	0	1	0
12	0	1	681	1	38	1	51	1	122240.72	0.0016406	81.381698	   302545	0.000257508	1.00182e-08	58610.795	59428.853	9	9	8	8	0	0	1	0
12	0	1	682	1	37	1	51	3	122240.72	   16.032	550567.92	   302545	0.000257508	1.00182e-08	58610.795	59428.853	11	13	10	12	0	0	1	0
12	0	1	683	1	37	2	51	2	122240.72	   7.9616	323127.72	   302545	0.000257508	1.00182e-08	58610.795	59428.853	9	11	8	10	0	0	1	0
12	0	1	684	1	37	2	52	1	122240.72	   5.0816	206240.68	   302545	0.000257508	1.00182e-08	58610.795	59428.853	9	11	8	10	0	0	1	0
12	0	1	685	1	37	1	52	1	122240.72	  0.24155	9803.4944	   302545	0.000257508	1.00182e-08	58610.795	59428.853	11	11	10	10	0	0	1	0
12	0	1	686	1	37	1	51	2	122240.72	   0.3013	12228.495	   302545	0.000257508	1.00182e-08	58610.795	59428.853	11	11	10	10	0	0	1	0
12	0	1	687	1	38	1	52	1	122240.72	   8.2604	335254.75	   302545	0.000257508	1.00182e-08	58610.795	59428.853	9	11	8	10	0	0	1	0
12	0	1	688	1	38	1	51	2	122240.72	   5.3211	215960.98	   302545	0.000257508	1.00182e-08	58610.795	59428.853	9	11	8	10	0	0	1	0
12	0	1	689	1	37	2	51	1	122240.72	    0.542	26885.822	   302545	0.000257508	1.00182e-08	58610.795	59428.853	9	9	8	8	0	0	1	0
12	0	1	690	1	37	1	51	1	122240.72	0.0054828	271.97341	   302545	0.000257508	1.00182e-08	58610.795	59428.853	11	9	10	8	0	0	1	0
12	0	1	691	1	37	3	51	1	122240.72	   10.568	524223.93	   302545	0.000257508	1.00182e-08	58610.795	59428.853	7	9	6	8	0	0	1	0
12	0	1	692	1	40	1	53	2	 123217.2	0.0061802	208.88866	   195340	0.00035546	1.00182e-08	58618.942	59430.517	11	13	10	12	0	0	1	0
12	0	1	693	1	39	3	53	2	 123217.2	  0.33574	11347.898	   195340	0.00035546	1.00182e-08	58618.942	59430.517	13	13	12	12	0	0	1	0
12	0	1	694	1	39	3	53	1	 123217.2	0.0043053	171.97543	   195340	0.00035546	1.00182e-08	58618.942	59430.517	13	11	12	10	0	0	1	0
12	0	1	695	1	40	1	54	1	 123217.2	   21.878	739468.96	   195340	0.00035546	1.00182e-08	58618.942	59430.517	11	13	10	12	0	0	1	0
12	0	1	696	1	39	2	53	1	 123217.2	  0.34198	13660.409	   195340	0.00035546	1.00182e-08	58618.942	59430.517	11	11	10	10	0	0	1	0
12	0	1	697	1	40	1	53	1	 123217.2	  0.27353	 10926.17	   195340	0.00035546	1.00182e-08	58618.942	59430.517	11	11	10	10	0	0	1	0
12	0	1	698	1	39	3	53	3	 123217.2	   25.586	749491.68	   195340	0.00035546	1.00182e-08	58618.942	59430.517	13	15	12	14	0	0	1	0
12	0	1	699	1	39	2	54	1	 123217.2	 0.000171	5.7797418	   195340	0.00035546	1.00182e-08	58618.942	59430.517	11	13	10	12	0	0	1	0
12	0	1	700	1	39	3	54	1	 123217.2	   0.2799	9460.5248	   195340	0.00035546	1.00182e-08	58618.942	59430.517	13	13	12	12	0	0	1	0
12	0	1	701	1	39	1	53	1	 123217.2	   18.113	723524.74	   195340	0.00035546	1.00182e-08	58618.942	59430.517	9	11	8	10	0	0	1	0
12	0	1	702	1	39	2	53	2	 123217.2	   21.827	737745.18	   195340	0.00035546	1.00182e-08	58618.942	59430.517	11	13	10	12	0	0	1	0
