AtomicNumber	IonCharge	ModelIndex	LineNumber	type	LowerLevel	UpperLevel	Wavelength	gf	A	RadDamping	StarkCoefficient	VanderWaalsCoefficient	EWavenLower	EWavenUpper	gLower	gUpper	2Jlower	2JUpper	broad	prd	nlteparm	commentid
12	0	1	113	1	26	39	73736.416	45.751841	1701000.0	513795	8.7255e-05	7.95775e-09	57262.76	58618.942	27	33	26	32	0	0	1	0
12	0	1	116	1	26	40	73736.416	0.0	0.0	513795	8.7255e-05	7.95775e-09	57262.76	58618.942	27	11	26	10	0	0	1	0
12	0	1	114	1	27	39	73736.416	0.0	0.0	513795	8.7255e-05	7.95775e-09	57262.76	58618.942	9	33	8	32	0	0	1	0
12	0	1	115	1	27	40	73736.417	15.256984	1702000.0	513795	8.7255e-05	7.95775e-09	57262.76	58618.942	9	11	8	10	0	0	1	0
12	0	1	118	1	37	51	122240.72	40.722403	550800.0	302545	0.000257508	1.0018200000000002e-08	58610.795	59428.852999999996	27	33	26	32	0	0	1	0
12	0	1	119	1	37	52	122240.72	0.0	0.0	302545	0.000257508	1.0018200000000002e-08	58610.795	59428.852999999996	27	11	26	10	0	0	1	0
12	0	1	120	1	38	52	122240.72	13.587572	551400.0	302545	0.000257508	1.0018200000000002e-08	58610.795	59428.852999999996	9	11	8	10	0	0	1	0
12	0	1	117	1	38	51	122240.72	0.0	0.0	302545	0.000257508	1.0018200000000002e-08	58610.795	59428.852999999996	9	33	8	32	0	0	1	0
12	0	1	122	1	39	53	123217.2	66.493332	749100.0	195340	0.00035546	1.0018200000000002e-08	58618.942	59430.517	33	39	32	38	0	0	1	0
12	0	1	124	1	39	54	123217.2	0.0	0.0	195340	0.00035546	1.0018200000000002e-08	58618.942	59430.517	33	13	32	12	0	0	1	0
12	0	1	123	1	40	54	123217.2	22.164444	749100.0	195340	0.00035546	1.0018200000000002e-08	58618.942	59430.517	11	13	10	12	0	0	1	0
12	0	1	121	1	40	53	123217.2	0.0	0.0	195340	0.00035546	1.0018200000000002e-08	58618.942	59430.517	11	39	10	38	0	0	1	0
