K	Conf	Term	2S+1	L	P	2J	CF	AS(Ryd)	NIST(Ryd)	Energy
147	3s.9k	1K*	1	7	1	14	40	0.548474	0.549640	0.549640
148	3s.9k	3K*	3	7	1	16	40	0.548474	0.549640	0.549640
149	3s.9k	3K*	3	7	1	12	40	0.548474	0.549640	0.549640
150	3s.9k	3K*	3	7	1	14	40	0.548474	0.549640	0.549640
151	3s.11s	3S	3	0	0	2	45	0.549429	0.550596	0.550596
152	3s.10d	1D	1	2	0	4	43	0.549525	0.550725	0.550725
153	3s.11s	1S	1	0	0	0	45	0.549958	-1.000000	0.549958
154	3s.10d	3D	3	2	0	6	43	0.550472	0.551639	0.551639
155	3s.10d	3D	3	2	0	4	43	0.550472	0.551639	0.551639
156	3s.10d	3D	3	2	0	2	43	0.550472	0.551639	0.551639
157	3s.11p	3P*	3	1	1	0	46	0.550519	-1.000000	0.550519
158	3s.11p	3P*	3	1	1	2	46	0.550520	-1.000000	0.550520
159	3s.11p	3P*	3	1	1	4	46	0.550522	-1.000000	0.550522
160	3s.11p	1P*	1	1	1	2	46	0.550657	0.551894	0.551894
161	3s.10f	1F*	1	3	1	6	44	0.550717	0.551887	0.551887
162	3s.10f	3F*	3	3	1	4	44	0.550717	0.551887	0.551887
163	3s.10f	3F*	3	3	1	6	44	0.550717	0.551887	0.551887
164	3s.10f	3F*	3	3	1	8	44	0.550717	0.551887	0.551887
165	3s.12s	3S	3	0	0	2	49	0.551522	0.552688	0.552688
166	3s.11d	1D	1	2	0	4	47	0.551581	0.552772	0.552772
167	3s.12s	1S	1	0	0	0	49	0.551901	-1.000000	0.551901
168	3s.11d	3D	3	2	0	6	47	0.552295	0.553461	0.553461
169	3s.11d	3D	3	2	0	4	47	0.552295	0.553461	0.553461
170	3s.11d	3D	3	2	0	2	47	0.552295	0.553461	0.553461
171	3s.12p	3P*	3	1	1	0	50	0.552303	-1.000000	0.552303
172	3s.12p	3P*	3	1	1	2	50	0.552304	-1.000000	0.552304
173	3s.12p	3P*	3	1	1	4	50	0.552305	-1.000000	0.552305
174	3s.12p	1P*	1	1	1	2	50	0.552427	0.553651	0.553651
