Configuration| Term|J |    Level
3s.20d       | 1D  |2 |61379.2  
3s.21p       | 1P* |1 |61395.43 
3s.21d       | 1D  |2 |61407    
3s.22p       | 1P* |1 |61421.14 
3s.22d       | 1D  |2 |61432    
3s.23p       | 1P* |1 |61443.41 
3s.23d       | 1D  |2 |61452    
3s.24p       | 1P* |1 |61462.82 
3s.24d       | 1D  |2 |61471    
3s.25p       | 1P* |1 |61479.87 
3s.25d       | 1D  |2 |61487    
3s.26p       | 1P* |1 |61494.90 
3s.27p       | 1P* |1 |61508.24 
3s.28p       | 1P* |1 |61520.12 
3s.29p       | 1P* |1 |61530.73 
3s.30p       | 1P* |1 |61540.26 
3s.31p       | 1P* |1 |61548.81 
3s.32p       | 1P* |1 |61556.63 
3s.33p       | 1P* |1 |61563.68 
3s.34p       | 1P* |1 |61570.11 
3s.35p       | 1P* |1 |61575.99 
3s.36p       | 1P* |1 |61581.34 
3s.37p       | 1P* |1 |61586.33 
3s.38p       | 1P* |1 |61590.82 
3s.39p       | 1P* |1 |61595.02 
3s.40p       | 1P* |1 |61598.87 
3s.41p       | 1P* |1 |61602.44 
3s.42p       | 1P* |1 |61605.74 
3s.43p       | 1P* |1 |61608.86 
3s.44p       | 1P* |1 |61611.67 
3s.45p       | 1P* |1 |61614.40 
3s.46p       | 1P* |1 |61616.88 
3s.47p       | 1P* |1 |61619.23 
3s.48p       | 1P* |1 |61621.43 
3s.49p       | 1P* |1 |61623.49 
3s.50p       | 1P* |1 |61625.45 
3s.51p       | 1P* |1 |61627.17 
3s.52p       | 1P* |1 |61628.94 
3s.53p       | 1P* |1 |61630.60 
3s.54p       | 1P* |1 |61631.99 
3s.55p       | 1P* |1 |61633.43 
3s.56p       | 1P* |1 |61634.87 
3s.57p       | 1P* |1 |61636.20 
3s.58p       | 1P* |1 |61637.27 
3s.59p       | 1P* |1 |61638.48
