---------------------------------------------------------------------------------------------------------------------------------------
     Observed          Aki          fik       Acc.         Ei           Ek             Lower level             Upper level        Type 
    Wavelength        (s^-1)                              (Ry)         (Ry)       ---------------------- ------------------------------
     Vac (nm)                                                                      Conf.     Term   J     Conf.    Term   J            
---------------------------------------------------------------------------------------------------------------------------------------
        518.36042   5.61e+07     1.36e-01     A       0.19966935      0.37541836   3s.3p     3P*    2     3s.4s    3S     1            
        552.84047   1.39e+07     1.06e-01     B+      0.31941062      0.48419848   3s.3p     1P*    1     3s.4d    1D     2            
        571.10880   3.86e+06     6.30e-03     B       0.31941062      0.47892739   3s.3p     1P*    1     3s.5s    1S     0            
        631.8716    2.63e+05     2.63e-03     D+      0.37541836      0.51959559   3s.4s     3S     1     3s.6p    3P*    2            
        631.9236    2.64e+05     1.58e-03     D       0.37541836      0.51958373   3s.4s     3S     1     3s.6p    3P*    1            
        631.9493    2.63e+05     5.25e-04     E       0.37541836      0.51957785   3s.4s     3S     1     3s.6p    3P*    0            
        706.0409    8.51e+05     8.91e-03     D       0.42285584      0.55188736   3s.3d     1D     2     3s.10f   1F*    3            
        719.3172    1.18e+06     1.28e-02     D       0.42285584      0.54950572   3s.3d     1D     2     3s.9f    1F*    3            
        729.1060    6.27e+04     1.50e-03     C+      0.39643154      0.52138137   3s.4s     1S     0     3s.6p    1P*    1            
        738.7685    1.74e+06     2.00e-02     C+      0.42285584      0.54617128   3s.3d     1D     2     3s.8f    1F*    3            
        765.7603    1.23e+06     1.80e-02     C       0.37541836      0.49438722   3s.4s     3S     1     3s.5p    3P*    2            
        765.9152    1.23e+06     1.08e-02     C       0.37541836      0.49436316   3s.4s     3S     1     3s.5p    3P*    1            
        765.9902    1.23e+06     3.61e-03     D+      0.37541836      0.49435152   3s.4s     3S     1     3s.5p    3P*    0            
        769.1550    2.66e+06     3.30e-02     B       0.42285584      0.54129958   3s.3d     1D     2     3s.7f    1F*    3            
        788.1667    4.56e+05     5.95e-03     D       0.43605187      0.5516386    3s.4p     3P*    2     3s.10d   3D     3            
        793.0806    4.78e+05     6.32e-03     D       0.43701659      0.55188736   3s.3d     3D     2     3s.10f   3F*    3            
        793.0806    5.38e+05     6.53e-03     D       0.43701675      0.55188736   3s.3d     3D     3     3s.10f   3F*    4            
        793.0806    4.52e+05     7.11e-03     D       0.43701687      0.55188736   3s.3d     3D     1     3s.10f   3F*    2            
        794.707     2.91e+04     8.26e-04     E       0.43596035      0.5505955    3s.4p     3P*    0     3s.11s   3S     1            
        795.339     1.45e+05     8.26e-04     D       0.43605187      0.5505955    3s.4p     3P*    2     3s.11s   3S     1            
        804.773     3.53e+05     1.03e-02     E       0.43596035      0.54916218   3s.4p     3P*    0     3s.9d    3D     1            
        804.9854    4.78e+05     7.74e-03     D       0.43599038      0.54916218   3s.4p     3P*    1     3s.9d    3D     2            
        805.4232    6.36e+05     8.67e-03     D       0.43605187      0.54916218   3s.4p     3P*    2     3s.9d    3D     3            
        809.8724    6.82e+05     9.39e-03     D       0.43701659      0.54950572   3s.3d     3D     2     3s.9f    3F*    3            
        809.8724    7.68e+05     9.71e-03     D+      0.43701675      0.54950572   3s.3d     3D     3     3s.9f    3F*    4            
        809.8724    6.46e+05     1.06e-02     D       0.43701687      0.54950572   3s.3d     3D     1     3s.9f    3F*    2            
        820.9839    1.81e+05     1.10e-03     C       0.42285584      0.5338223    3s.3d     1D     2     3s.7p    1P*    1            
        821.3034    4.38e+06     6.20e-02     B+      0.42285584      0.53377902   3s.3d     1D     2     3s.6f    1F*    3            
        830.3313    5.16e+05     1.60e-02     E       0.43596035      0.54567761   3s.4p     3P*    0     3s.8d    3D     1            
        830.5596    9.28e+05     1.60e-02     C+      0.43599038      0.54567747   3s.4p     3P*    1     3s.8d    3D     2            
        831.0264    9.24e+05     1.34e-02     D+      0.43605187      0.54567735   3s.4p     3P*    2     3s.8d    3D     3            
        834.6120    1.02e+06     1.49e-02     D+      0.43701659      0.54617128   3s.3d     3D     2     3s.8f    3F*    3            
        834.6120    1.15e+06     1.54e-02     D+      0.43701675      0.54617128   3s.3d     3D     3     3s.8f    3F*    4            
        834.6120    9.59e+05     1.67e-02     D       0.43701687      0.54617128   3s.3d     3D     1     3s.8f    3F*    2            
        871.0175    7.97e+05     2.72e-02     D       0.43596035      0.54055262   3s.4p     3P*    0     3s.7d    3D     1            
        871.2689    1.07e+06     2.04e-02     D+      0.43599038      0.54055245   3s.4p     3P*    1     3s.7d    3D     2            
        871.7825    1.43e+06     2.29e-02     D+      0.43605187      0.54055235   3s.4p     3P*    2     3s.7d    3D     3            
        873.6021    1.62e+06     2.60e-02     D+      0.43701659      0.54129958   3s.3d     3D     2     3s.7f    3F*    3            
        873.6021    1.83e+06     2.69e-02     C       0.43701675      0.54129958   3s.3d     3D     3     3s.7f    3F*    4            
        873.6021    1.54e+06     2.93e-02     D+      0.43701687      0.54129958   3s.3d     3D     1     3s.7f    3F*    2            
