K	Conf	Term	2S+1	L	P	2J	CF	AS (Ryd)	NIST (Ryd)	Energy
86	3s.15p	3P*	3	1	1	0	62	0.534023	-1.000000	0.534023
87	3s.15p	3P*	3	1	1	2	62	0.534024	-1.000000	0.534024
88	3s.15p	3P*	3	1	1	4	62	0.534024	-1.000000	0.534024
89	3s.6g	1G	1	4	0	8	18	0.534079	0.534101	0.534101
90	3s.6g	3G	3	4	0	6	18	0.534079	0.534101	0.534101
91	3s.6g	3G	3	4	0	10	18	0.534079	0.534101	0.534101
92	3s.6g	3G	3	4	0	8	18	0.534079	0.534101	0.534101
93	3s.6h	1H*	1	5	1	10	19	0.534157	0.534175	0.534175
94	3s.6h	3H*	3	5	1	8	19	0.534157	0.534175	0.534175
95	3s.6h	3H*	3	5	1	12	19	0.534157	0.534175	0.534175
96	3s.6h	3H*	3	5	1	10	19	0.534157	0.534175	0.534175
97	3s.16s	3S	3	0	0	2	65	0.534342	-1.000000	0.534342
98	3s.16s	1S	1	0	0	0	65	0.534479	-1.000000	0.534479
99	3s.15d	3D	3	2	0	2	63	0.534661	-1.000000	0.534661
100	3s.15d	3D	3	2	0	4	63	0.534661	-1.000000	0.534661
101	3s.15d	3D	3	2	0	6	63	0.534661	-1.000000	0.534661
102	3s.16p	3P*	3	1	1	0	66	0.534680	-1.000000	0.534680
103	3s.16p	3P*	3	1	1	2	66	0.534680	-1.000000	0.534680
104	3s.16p	3P*	3	1	1	4	66	0.534681	-1.000000	0.534681
105	3s.17s	3S	3	0	0	2	68	0.534947	-1.000000	0.534947
106	3s.17s	1S	1	0	0	0	68	0.535053	-1.000000	0.535053
107	3s.16d	3D	3	2	0	2	67	0.535208	-1.000000	0.535208
108	3s.16d	3D	3	2	0	4	67	0.535208	-1.000000	0.535208
109	3s.16d	3D	3	2	0	6	67	0.535208	-1.000000	0.535208
110	3s.17p	3P*	3	1	1	0	69	0.535223	-1.000000	0.535223
111	3s.17p	3P*	3	1	1	2	69	0.535223	-1.000000	0.535223
112	3s.17p	3P*	3	1	1	4	69	0.535223	-1.000000	0.535223
113	3s.18s	3S	3	0	0	2	71	0.535445	-1.000000	0.535445
114	3s.18s	1S	1	0	0	0	71	0.535526	-1.000000	0.535526
115	3s.17d	3D	3	2	0	2	70	0.535661	-1.000000	0.535661
116	3s.17d	3D	3	2	0	4	70	0.535661	-1.000000	0.535661
117	3s.17d	3D	3	2	0	6	70	0.535661	-1.000000	0.535661
118	3s.18p	3P*	3	1	1	0	72	0.535673	-1.000000	0.535673
119	3s.18p	3P*	3	1	1	2	72	0.535674	-1.000000	0.535674
120	3s.18p	3P*	3	1	1	4	72	0.535674	-1.000000	0.535674
121	3s.19s	3S	3	0	0	2	74	0.535860	-1.000000	0.535860
122	3s.19s	1S	1	0	0	0	74	0.535921	-1.000000	0.535921
123	3s.18d	3D	3	2	0	2	73	0.536041	-1.000000	0.536041
124	3s.18d	3D	3	2	0	4	73	0.536041	-1.000000	0.536041
125	3s.18d	3D	3	2	0	6	73	0.536041	-1.000000	0.536041
126	3s.19p	3P*	3	1	1	0	75	0.536052	-1.000000	0.536052
127	3s.19p	3P*	3	1	1	2	75	0.536052	-1.000000	0.536052
128	3s.19p	3P*	3	1	1	4	75	0.536052	-1.000000	0.536052
129	3s.20s	3S	3	0	0	2	77	0.536209	-1.000000	0.536209
130	3s.20s	1S	1	0	0	0	77	0.536254	-1.000000	0.536254
131	3s.19d	3D	3	2	0	2	76	0.536363	-1.000000	0.536363
132	3s.19d	3D	3	2	0	4	76	0.536363	-1.000000	0.536363
133	3s.19d	3D	3	2	0	6	76	0.536363	-1.000000	0.536363
134	3s.20p	3P*	3	1	1	0	78	0.536372	-1.000000	0.536372
135	3s.20p	3P*	3	1	1	2	78	0.536372	-1.000000	0.536372
136	3s.20p	3P*	3	1	1	4	78	0.536372	-1.000000	0.536372
137	3s.20d	3D	3	2	0	2	79	0.536638	-1.000000	0.536638
138	3s.20d	3D	3	2	0	4	79	0.536638	-1.000000	0.536638
139	3s.20d	3D	3	2	0	6	79	0.536638	-1.000000	0.536638
140	3s.8s	3S	3	0	0	2	27	0.537329	0.537308	0.537308
141	3s.7d	1D	1	2	0	4	22	0.537710	0.538021	0.538021
142	3s.8s	1S	1	0	0	0	27	0.538640	0.538135	0.538135
143	3s.7d	3D	3	2	0	6	22	0.540556	0.540552	0.540552
144	3s.7d	3D	3	2	0	4	22	0.540556	0.540552	0.540552
145	3s.7d	3D	3	2	0	2	22	0.540556	0.540553	0.540553
146	3s.8p	3P*	3	1	1	2	28	0.540802	0.540769	0.540769
147	3s.8p	3P*	3	1	1	0	28	0.540802	0.540769	0.540769
148	3s.8p	3P*	3	1	1	4	28	0.540802	0.540769	0.540769
149	3s.8p	1P*	1	1	1	2	28	0.541145	0.541322	0.541322
150	3s.7f	1F*	1	3	1	6	23	0.541267	0.541300	0.541300
151	3s.7f	3F*	3	3	1	4	23	0.541268	0.541300	0.541300
152	3s.7f	3F*	3	3	1	6	23	0.541268	0.541300	0.541300
153	3s.7f	3F*	3	3	1	8	23	0.541268	0.541300	0.541300
154	3s.7g	1G	1	4	0	8	24	0.541487	0.541507	0.541507
155	3s.7g	3G	3	4	0	6	24	0.541487	0.541507	0.541507
