------------------------------------------------------------------------------------
Configuration                           Term                J             Level(Ry) 
3s.9k                                   1K*                 7             0.54964021               
3s.11s                                  3S                  1             0.5505955                
3s.10d                                  1D                  2             0.55072514               
3s.10d                                  3D                  1             0.5516386                
3s.10d                                  3D                  2             0.5516386                
3s.10d                                  3D                  3             0.5516386                
3s.10f                                  3F*                 2             0.55188736               
3s.10f                                  3F*                 3             0.55188736               
3s.10f                                  3F*                 4             0.55188736               
3s.10f                                  1F*                 3             0.55188736               
3s.11p                                  1P*                 1             0.5518939                
3s.12s                                  3S                  1             0.5526877                
3s.11d                                  1D                  2             0.5527718                
3s.11d                                  3D                  1             0.5534615                
3s.11d                                  3D                  2             0.5534615                
3s.11d                                  3D                  3             0.5534615                
3s.11f                                  3F*                 2             0.55364726               
3s.11f                                  3F*                 3             0.55364726               
3s.11f                                  3F*                 4             0.55364726               
3s.11f                                  1F*                 3             0.55364726               
3s.12p                                  1P*                 1             0.5536506                
3s.13s                                  3S                  1             0.5542524                
3s.12d                                  1D                  2             0.5543093                
3s.12d                                  3D                  1             0.5548416                
3s.12d                                  3D                  2             0.5548416                
3s.12d                                  3D                  3             0.5548416                
3s.12f                                  3F*                 2             0.5549844                
3s.12f                                  3F*                 3             0.5549844                
3s.12f                                  3F*                 4             0.5549844                
3s.12f                                  1F*                 3             0.5549844                
3s.13p                                  1P*                 1             0.5549883                
3s.14s                                  3S                  1             0.5554528                
3s.13d                                  1D                  2             0.5554930                
3s.13d                                  3D                  1             0.5559124                
3s.13d                                  3D                  2             0.5559124                
3s.13d                                  3D                  3             0.5559124                
3s.13f                                  3F*                 2             0.5560242                
3s.13f                                  3F*                 3             0.5560242                
3s.13f                                  3F*                 4             0.5560242                
3s.13f                                  1F*                 3             0.5560242                
3s.14p                                  1P*                 1             0.5560272                
3s.14d                                  1D                  2             0.556424                 
3s.14d                                  3D                  1             0.5567593                
3s.14d                                  3D                  2             0.5567593                
3s.14d                                  3D                  3             0.5567593                
3s.14f                                  3F*                 2             0.5568484                
3s.14f                                  3F*                 3             0.5568484                
3s.14f                                  3F*                 4             0.5568484                
3s.14f                                  1F*                 3             0.5568484                
3s.15p                                  1P*                 1             0.5568511                
